Outliers for BigSolDB:
Index: 15, SMILES: COC(=O)[C@@H](N)CS.Cl, Value: 0.1268
Index: 486, SMILES: CCCOC(=O)c1ccc(O)cc1, Value: 0.2333
Index: 487, SMILES: CCCOC(=O)c1ccc(O)cc1, Value: 0.2656
Index: 488, SMILES: CCCOC(=O)c1ccc(O)cc1, Value: 0.3069
Index: 489, SMILES: CCCOC(=O)c1ccc(O)cc1, Value: 0.3826
Index: 517, SMILES: O=C(O)Cc1ccccc1[N+](=O)[O-], Value: 0.1171
Index: 518, SMILES: O=C(O)Cc1ccccc1[N+](=O)[O-], Value: 0.1337
Index: 526, SMILES: O=C(O)Cc1ccc([N+](=O)[O-])cc1, Value: 0.1247
Index: 527, SMILES: O=C(O)Cc1ccc([N+](=O)[O-])cc1, Value: 0.1367
Index: 528, SMILES: O=C(O)Cc1ccc([N+](=O)[O-])cc1, Value: 0.1546
Index: 529, SMILES: O=C(O)Cc1ccc([N+](=O)[O-])cc1, Value: 0.1736
Index: 530, SMILES: O=C(O)Cc1ccc([N+](=O)[O-])cc1, Value: 0.1946
Index: 531, SMILES: O=C(O)Cc1ccc([N+](=O)[O-])cc1, Value: 0.2183
Index: 532, SMILES: O=C(O)Cc1ccc([N+](=O)[O-])cc1, Value: 0.2451
Index: 533, SMILES: O=C(O)Cc1ccc([N+](=O)[O-])cc1, Value: 0.2738
Index: 534, SMILES: O=C(O)Cc1ccc([N+](=O)[O-])cc1, Value: 0.3054
Index: 535, SMILES: O=C(O)Cc1ccc([N+](=O)[O-])cc1, Value: 0.3407
Index: 547, SMILES: Oc1ccc(OCc2ccccc2)cc1, Value: 0.1356
Index: 596, SMILES: COC(=O)C(C)(C)N=NC(C)(C)C(=O)OC, Value: 0.1223
Index: 597, SMILES: COC(=O)C(C)(C)N=NC(C)(C)C(=O)OC, Value: 0.1821
Index: 598, SMILES: COC(=O)C(C)(C)N=NC(C)(C)C(=O)OC, Value: 0.2479
Index: 599, SMILES: COC(=O)C(C)(C)N=NC(C)(C)C(=O)OC, Value: 0.3639
Index: 600, SMILES: COC(=O)C(C)(C)N=NC(C)(C)C(=O)OC, Value: 0.4825
Index: 601, SMILES: COC(=O)C(C)(C)N=NC(C)(C)C(=O)OC, Value: 0.6265
Index: 781, SMILES: O=P(O)(O)c1ccccc1, Value: 0.29018
Index: 782, SMILES: O=P(O)(O)c1ccccc1, Value: 0.29885
Index: 783, SMILES: O=P(O)(O)c1ccccc1, Value: 0.30707
Index: 784, SMILES: O=P(O)(O)c1ccccc1, Value: 0.31526
Index: 785, SMILES: O=P(O)(O)c1ccccc1, Value: 0.32435
Index: 786, SMILES: O=P(O)(O)c1ccccc1, Value: 0.33482
Index: 787, SMILES: O=P(O)(O)c1ccccc1, Value: 0.34665
Index: 788, SMILES: O=P(O)(O)c1ccccc1, Value: 0.35716
Index: 789, SMILES: O=P(O)(O)c1ccccc1, Value: 0.36891
Index: 790, SMILES: O=P(O)(O)c1ccccc1, Value: 0.38029
Index: 795, SMILES: O=[N+]([O-])c1ncccc1O, Value: 0.1531
Index: 796, SMILES: O=[N+]([O-])c1ncccc1O, Value: 0.206
Index: 797, SMILES: O=[N+]([O-])c1ncccc1O, Value: 0.2714
Index: 798, SMILES: O=[N+]([O-])c1ncccc1O, Value: 0.3519
Index: 799, SMILES: O=[N+]([O-])c1ncccc1O, Value: 0.4456
Index: 946, SMILES: NC(=O)c1ccccc1N, Value: 0.1231
Index: 947, SMILES: NC(=O)c1ccccc1N, Value: 0.1484
Index: 948, SMILES: NC(=O)c1ccccc1N, Value: 0.1702
Index: 949, SMILES: NC(=O)c1ccccc1N, Value: 0.1896
Index: 950, SMILES: NC(=O)c1ccccc1N, Value: 0.2291
Index: 1183, SMILES: Cc1nc(C)c(C)nc1C, Value: 0.11922
Index: 1184, SMILES: Cc1nc(C)c(C)nc1C, Value: 0.14257
Index: 1185, SMILES: Cc1nc(C)c(C)nc1C, Value: 0.16166
Index: 1186, SMILES: Cc1nc(C)c(C)nc1C, Value: 0.19381
Index: 1187, SMILES: Cc1nc(C)c(C)nc1C, Value: 0.22208
Index: 1188, SMILES: Cc1nc(C)c(C)nc1C, Value: 0.26223
Index: 1189, SMILES: Cc1nc(C)c(C)nc1C, Value: 0.29622
Index: 1190, SMILES: Cc1nc(C)c(C)nc1C, Value: 0.34215
Index: 1254, SMILES: CC[C@@H](C(N)=O)N1CCCC1=O, Value: 0.1153
Index: 1255, SMILES: CC[C@@H](C(N)=O)N1CCCC1=O, Value: 0.1356
Index: 1256, SMILES: CC[C@@H](C(N)=O)N1CCCC1=O, Value: 0.1578
Index: 1257, SMILES: CC[C@@H](C(N)=O)N1CCCC1=O, Value: 0.1824
Index: 1258, SMILES: CC[C@@H](C(N)=O)N1CCCC1=O, Value: 0.2094
Index: 1259, SMILES: CC[C@@H](C(N)=O)N1CCCC1=O, Value: 0.2388
Index: 1260, SMILES: CC[C@@H](C(N)=O)N1CCCC1=O, Value: 0.2702
Index: 1328, SMILES: N#Cc1cccnc1, Value: 0.153
Index: 1329, SMILES: N#Cc1cccnc1, Value: 0.267
Index: 1330, SMILES: N#Cc1cccnc1, Value: 0.404
Index: 1331, SMILES: N#Cc1cccnc1, Value: 0.541
Index: 1332, SMILES: N#Cc1cccnc1, Value: 0.726
Index: 1338, SMILES: N#Cc1ccncc1, Value: 0.173
Index: 1339, SMILES: N#Cc1ccncc1, Value: 0.304
Index: 1354, SMILES: NC(=O)c1cccnc1, Value: 0.1208701
Index: 1355, SMILES: NC(=O)c1cccnc1, Value: 0.1413067
Index: 1356, SMILES: NC(=O)c1cccnc1, Value: 0.1655405
Index: 1357, SMILES: NC(=O)c1cccnc1, Value: 0.1917295
Index: 1386, SMILES: O=C(O)c1c(O)cccc1O, Value: 0.19966
Index: 1387, SMILES: O=C(O)c1c(O)cccc1O, Value: 0.21374
Index: 1388, SMILES: O=C(O)c1c(O)cccc1O, Value: 0.22653
Index: 1389, SMILES: O=C(O)c1c(O)cccc1O, Value: 0.2471
Index: 1390, SMILES: O=C(O)c1c(O)cccc1O, Value: 0.26061
Index: 1391, SMILES: O=C(O)c1c(O)cccc1O, Value: 0.27568
Index: 1392, SMILES: O=C(O)c1c(O)cccc1O, Value: 0.28369
Index: 1393, SMILES: O=C(O)c1c(O)cccc1O, Value: 0.3004
Index: 1394, SMILES: O=C(O)c1c(O)cccc1O, Value: 0.31383
Index: 1455, SMILES: O=C(O)Cc1cccc2ccccc12, Value: 0.13
Index: 1456, SMILES: O=C(O)Cc1cccc2ccccc12, Value: 0.14
Index: 1457, SMILES: O=C(O)Cc1cccc2ccccc12, Value: 0.151
Index: 1458, SMILES: O=C(O)Cc1cccc2ccccc12, Value: 0.162
Index: 1459, SMILES: O=C(O)Cc1cccc2ccccc12, Value: 0.173
Index: 1460, SMILES: O=C(O)Cc1cccc2ccccc12, Value: 0.183
Index: 1461, SMILES: O=C(O)Cc1cccc2ccccc12, Value: 0.192
Index: 1462, SMILES: O=C(O)Cc1cccc2ccccc12, Value: 0.2
Index: 1463, SMILES: O=C(O)Cc1cccc2ccccc12, Value: 0.213
Index: 1544, SMILES: O=C(c1ccccc1)c1ccccc1, Value: 0.1299
Index: 1545, SMILES: O=C(c1ccccc1)c1ccccc1, Value: 0.2085
Index: 1546, SMILES: O=C(c1ccccc1)c1ccccc1, Value: 0.3017
Index: 1547, SMILES: O=C(c1ccccc1)c1ccccc1, Value: 0.455
Index: 1557, SMILES: O=C(O)c1ccccc1O, Value: 0.12324
Index: 1558, SMILES: O=C(O)c1ccccc1O, Value: 0.13718
Index: 1559, SMILES: O=C(O)c1ccccc1O, Value: 0.15007
Index: 1560, SMILES: O=C(O)c1ccccc1O, Value: 0.16333
Index: 1561, SMILES: O=C(O)c1ccccc1O, Value: 0.17234
Index: 1562, SMILES: OC/C=C/c1ccccc1, Value: 0.222
Index: 1563, SMILES: OC/C=C/c1ccccc1, Value: 0.24
Index: 1564, SMILES: OC/C=C/c1ccccc1, Value: 0.269
Index: 1565, SMILES: OC/C=C/c1ccccc1, Value: 0.307
Index: 1566, SMILES: OC/C=C/c1ccccc1, Value: 0.351
Index: 1567, SMILES: OC/C=C/c1ccccc1, Value: 0.401
Index: 1568, SMILES: OC/C=C/c1ccccc1, Value: 0.466
Index: 1569, SMILES: OC/C=C/c1ccccc1, Value: 0.536
Index: 1570, SMILES: OC/C=C/c1ccccc1, Value: 0.61
Index: 1621, SMILES: CC(=O)Nc1ccc(O)cc1, Value: 0.1328
Index: 1622, SMILES: CC(=O)Nc1ccc(O)cc1, Value: 0.1749
Index: 1623, SMILES: CC(=O)Nc1ccc(O)cc1, Value: 0.2288
Index: 1650, SMILES: CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1, Value: 0.1178
Index: 1727, SMILES: CCOC(=O)c1ccc(N)cc1, Value: 0.1202
Index: 1728, SMILES: CCOC(=O)c1ccc(N)cc1, Value: 0.1415
Index: 1729, SMILES: CCOC(=O)c1ccc(N)cc1, Value: 0.1675
Index: 1730, SMILES: CCOC(=O)c1ccc(N)cc1, Value: 0.1997
Index: 1731, SMILES: CCOC(=O)c1ccc(N)cc1, Value: 0.2271
Index: 1732, SMILES: CCOC(=O)c1ccc(N)cc1, Value: 0.2594
Index: 1733, SMILES: CCOC(=O)c1ccc(N)cc1, Value: 0.2956
Index: 1734, SMILES: CCOC(=O)c1ccc(N)cc1, Value: 0.3347
Index: 1770, SMILES: CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cc(F)c(F)cc1F, Value: 0.129
Index: 1771, SMILES: CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cc(F)c(F)cc1F, Value: 0.1511
Index: 1772, SMILES: CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cc(F)c(F)cc1F, Value: 0.1782
Index: 1773, SMILES: CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cc(F)c(F)cc1F, Value: 0.2115
Index: 1803, SMILES: O=C(O)c1ccccc1, Value: 0.1285
Index: 1804, SMILES: O=C(O)c1ccccc1, Value: 0.1454
Index: 1805, SMILES: O=C(O)c1ccccc1, Value: 0.1637
Index: 1806, SMILES: O=C(O)c1ccccc1, Value: 0.1804
Index: 1807, SMILES: O=C(O)c1ccccc1, Value: 0.2044
Index: 1808, SMILES: O=C(O)c1ccccc1, Value: 0.227
Index: 1809, SMILES: O=C(O)c1ccccc1, Value: 0.2412
Index: 1831, SMILES: O=C1OC(=O)c2c(Cl)cccc21, Value: 0.1157
Index: 1832, SMILES: O=C1OC(=O)c2c(Cl)cccc21, Value: 0.1261
Index: 1833, SMILES: O=C1OC(=O)c2c(Cl)cccc21, Value: 0.1443
Index: 1834, SMILES: O=C1OC(=O)c2c(Cl)cccc21, Value: 0.1613
Index: 1837, SMILES: O=C1OC(=O)c2cc(Cl)ccc21, Value: 0.1179
Index: 1838, SMILES: O=C1OC(=O)c2cc(Cl)ccc21, Value: 0.1356
Index: 1839, SMILES: O=C1OC(=O)c2cc(Cl)ccc21, Value: 0.1671
Index: 1840, SMILES: O=C1OC(=O)c2cc(Cl)ccc21, Value: 0.1955
Index: 1841, SMILES: O=C1OC(=O)c2cc(Cl)ccc21, Value: 0.228
Index: 1842, SMILES: O=C1OC(=O)c2cc(Cl)ccc21, Value: 0.2658
Index: 1843, SMILES: O=C1OC(=O)c2cc(Cl)ccc21, Value: 0.3086
Index: 1844, SMILES: O=C1OC(=O)c2cc(Cl)ccc21, Value: 0.3563
Index: 1863, SMILES: O=Cc1ccc2ccccc2c1, Value: 0.1187
Index: 1864, SMILES: Nc1ccc(Cc2ccc(N)cc2)cc1, Value: 0.1272
Index: 1865, SMILES: Nc1ccc(Cc2ccc(N)cc2)cc1, Value: 0.1572
Index: 1866, SMILES: Nc1ccc(Cc2ccc(N)cc2)cc1, Value: 0.187
Index: 1867, SMILES: Nc1ccc(Cc2ccc(N)cc2)cc1, Value: 0.2191
Index: 1868, SMILES: Nc1ccc(Cc2ccc(N)cc2)cc1, Value: 0.2585
Index: 1869, SMILES: Nc1ccc(Cc2ccc(N)cc2)cc1, Value: 0.3004
Index: 1870, SMILES: Nc1ccc(Cc2ccc(N)cc2)cc1, Value: 0.3472
Index: 1871, SMILES: Nc1ccc(Cc2ccc(N)cc2)cc1, Value: 0.4025
Index: 1904, SMILES: C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12CC[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O, Value: 0.120779
Index: 1912, SMILES: O=P(NCc1ccccc1)(Oc1ccccc1)Oc1ccccc1, Value: 0.12532
Index: 1913, SMILES: O=P(NCc1ccccc1)(Oc1ccccc1)Oc1ccccc1, Value: 0.16642
Index: 1935, SMILES: CC1(C)COC(=O)[C@@H]1O, Value: 0.2629
Index: 1936, SMILES: CC1(C)COC(=O)[C@@H]1O, Value: 0.3022
Index: 1937, SMILES: CC1(C)COC(=O)[C@@H]1O, Value: 0.3553
Index: 1938, SMILES: CC1(C)COC(=O)[C@@H]1O, Value: 0.4216
Index: 1939, SMILES: CC1(C)COC(=O)[C@@H]1O, Value: 0.4708
Index: 1940, SMILES: CC1(C)COC(=O)[C@@H]1O, Value: 0.4958
Index: 1941, SMILES: CC1(C)COC(=O)[C@@H]1O, Value: 0.5434
Index: 1981, SMILES: O=C(O)c1ccc(O)c(O)c1, Value: 0.12611
Index: 1982, SMILES: O=C(O)c1ccc(O)c(O)c1, Value: 0.16721
Index: 2027, SMILES: CCCCCCCCCCCC(=O)O, Value: 0.1231
Index: 2028, SMILES: CCCCCCCCCCCC(=O)O, Value: 0.1607
Index: 2029, SMILES: CCCCCCCCCCCC(=O)O, Value: 0.2077
Index: 2030, SMILES: CCCCCCCCCCCC(=O)O, Value: 0.2643
Index: 2031, SMILES: CCCCCCCCCCCC(=O)O, Value: 0.3411
Index: 2032, SMILES: CCCCCCCCCCCC(=O)O, Value: 0.4328
Index: 2047, SMILES: C[N+](C)(C)C[C@H](O)CC(=O)[O-], Value: 0.118964
Index: 2048, SMILES: C[N+](C)(C)C[C@H](O)CC(=O)[O-], Value: 0.127123
Index: 2049, SMILES: C[N+](C)(C)C[C@H](O)CC(=O)[O-], Value: 0.135565
Index: 2050, SMILES: C[N+](C)(C)C[C@H](O)CC(=O)[O-], Value: 0.144165
Index: 2051, SMILES: C[N+](C)(C)C[C@H](O)CC(=O)[O-], Value: 0.154137
Index: 2052, SMILES: C[N+](C)(C)C[C@H](O)CC(=O)[O-], Value: 0.165167
Index: 2053, SMILES: C[N+](C)(C)C[C@H](O)CC(=O)[O-], Value: 0.177535
Index: 2054, SMILES: C[N+](C)(C)C[C@H](O)CC(=O)[O-], Value: 0.189346
Index: 2102, SMILES: O=C(O)c1cc2ccccc2[nH]1, Value: 0.11848
Index: 2103, SMILES: O=C(O)c1cc2ccccc2[nH]1, Value: 0.13514
Index: 2104, SMILES: O=C(O)c1cc2ccccc2[nH]1, Value: 0.15912
Index: 2105, SMILES: O=C(O)c1cc2ccccc2[nH]1, Value: 0.18873
Index: 2106, SMILES: O=C(O)c1cc2ccccc2[nH]1, Value: 0.22962
Index: 2117, SMILES: O=[N+]([O-])c1ccc(Cl)c(Cl)c1, Value: 0.1247
Index: 2184, SMILES: CC(=O)N1CN(C(C)=O)CN(C(C)=O)C1, Value: 0.20433
Index: 2185, SMILES: CC(=O)N1CN(C(C)=O)CN(C(C)=O)C1, Value: 0.23793
Index: 2186, SMILES: CC(=O)N1CN(C(C)=O)CN(C(C)=O)C1, Value: 0.28282
Index: 2187, SMILES: CC(=O)N1CN(C(C)=O)CN(C(C)=O)C1, Value: 0.33546
Index: 2188, SMILES: CC(=O)N1CN(C(C)=O)CN(C(C)=O)C1, Value: 0.39451
Index: 2192, SMILES: O=P(CCCO)(CCCO)CCCO, Value: 0.11501
Index: 2193, SMILES: O=P(CCCO)(CCCO)CCCO, Value: 0.14427
Index: 2194, SMILES: O=P(CCCO)(CCCO)CCCO, Value: 0.17565
Index: 2195, SMILES: O=P(CCCO)(CCCO)CCCO, Value: 0.20979
Index: 2204, SMILES: C[C@@H]1OC(=O)[C@H](C)OC1=O, Value: 0.1164
Index: 2205, SMILES: C[C@@H]1OC(=O)[C@H](C)OC1=O, Value: 0.1261
Index: 2206, SMILES: C[C@@H]1OC(=O)[C@H](C)OC1=O, Value: 0.2042
Index: 2207, SMILES: C[C@@H]1OC(=O)[C@H](C)OC1=O, Value: 0.2818
Index: 2208, SMILES: C[C@@H]1OC(=O)[C@H](C)OC1=O, Value: 0.3367
Index: 2240, SMILES: C[N+](C)(C)CC(=O)[O-], Value: 0.1171
Index: 2241, SMILES: C[N+](C)(C)CC(=O)[O-], Value: 0.1215
Index: 2242, SMILES: C[N+](C)(C)CC(=O)[O-], Value: 0.1261
Index: 2243, SMILES: C[N+](C)(C)CC(=O)[O-], Value: 0.1308
Index: 2244, SMILES: C[N+](C)(C)CC(=O)[O-], Value: 0.1355
Index: 2262, SMILES: CSc1cccc(Nc2ccccc2)c1, Value: 0.1209
Index: 2271, SMILES: Cl.Nc1ccccc1, Value: 0.144
Index: 2272, SMILES: Cl.Nc1ccccc1, Value: 0.165
Index: 2273, SMILES: Cl.Nc1ccccc1, Value: 0.188
Index: 2274, SMILES: Cl.Nc1ccccc1, Value: 0.208
Index: 2275, SMILES: Cl.Nc1ccccc1, Value: 0.23
Index: 2362, SMILES: O=[PH](O)c1ccccc1, Value: 0.1726
Index: 2363, SMILES: O=[PH](O)c1ccccc1, Value: 0.2154
Index: 2364, SMILES: O=[PH](O)c1ccccc1, Value: 0.2795
Index: 2365, SMILES: O=[PH](O)c1ccccc1, Value: 0.3437
Index: 2366, SMILES: O=[PH](O)c1ccccc1, Value: 0.4292
Index: 2367, SMILES: O=[PH](O)c1ccccc1, Value: 0.5256
Index: 2368, SMILES: O=[PH](O)c1ccccc1, Value: 0.6554
Index: 2369, SMILES: CP(=O)(O)c1ccccc1, Value: 0.3172
Index: 2370, SMILES: CP(=O)(O)c1ccccc1, Value: 0.3432
Index: 2371, SMILES: CP(=O)(O)c1ccccc1, Value: 0.3718
Index: 2372, SMILES: CP(=O)(O)c1ccccc1, Value: 0.406
Index: 2373, SMILES: CP(=O)(O)c1ccccc1, Value: 0.4392
Index: 2374, SMILES: CP(=O)(O)c1ccccc1, Value: 0.4708
Index: 2375, SMILES: CP(=O)(O)c1ccccc1, Value: 0.4987
Index: 2504, SMILES: CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1, Value: 0.14694
Index: 2505, SMILES: CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1, Value: 0.20253
Index: 2577, SMILES: COc1cnc(Cl)nc1Cl, Value: 0.1297
Index: 2578, SMILES: COc1cnc(Cl)nc1Cl, Value: 0.1458
Index: 2579, SMILES: COc1cnc(Cl)nc1Cl, Value: 0.1628
Index: 2580, SMILES: COc1cnc(Cl)nc1Cl, Value: 0.1815
Index: 2581, SMILES: COc1cnc(Cl)nc1Cl, Value: 0.2023
Index: 2582, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.1425
Index: 2583, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.1521
Index: 2584, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.1588
Index: 2585, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.1708
Index: 2586, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.1798
Index: 2587, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.1873
Index: 2588, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.2048
Index: 2589, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.2176
Index: 2590, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.2457
Index: 2591, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.2699
Index: 2592, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.2931
Index: 2593, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.3088
Index: 2594, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.3239
Index: 2595, SMILES: O=C(O)CCCCCC(=O)O, Value: 0.3416
Index: 2656, SMILES: CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, Value: 0.11623
Index: 2657, SMILES: CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, Value: 0.1492
Index: 2658, SMILES: CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, Value: 0.18654
Index: 2659, SMILES: CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, Value: 0.22244
Index: 2660, SMILES: CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, Value: 0.29735
Index: 2661, SMILES: CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3, Value: 0.3552
Index: 2673, SMILES: N#C[S-].[NH4+], Value: 0.1693
Index: 2674, SMILES: N#C[S-].[NH4+], Value: 0.1794
Index: 2675, SMILES: N#C[S-].[NH4+], Value: 0.1895
Index: 2676, SMILES: N#C[S-].[NH4+], Value: 0.1988
Index: 2677, SMILES: N#C[S-].[NH4+], Value: 0.2199
Index: 2678, SMILES: N#C[S-].[NH4+], Value: 0.2334
Index: 2679, SMILES: N#C[S-].[NH4+], Value: 0.2491
Index: 2680, SMILES: N#C[S-].[NH4+], Value: 0.2769
Index: 2681, SMILES: N#C[S-].[NH4+], Value: 0.3089
Index: 2722, SMILES: O=C(Oc1ccccc1)c1ccccc1O, Value: 0.274
Index: 2723, SMILES: O=C(Oc1ccccc1)c1ccccc1O, Value: 0.6939
Index: 2741, SMILES: O=C(O)c1ccccc1O, Value: 0.1223
Index: 2750, SMILES: O=C(Oc1ccccc1)Oc1ccccc1, Value: 0.1209
Index: 2770, SMILES: C1CN2CCN1CC2, Value: 0.284
Index: 2771, SMILES: C1CN2CCN1CC2, Value: 0.319
Index: 2772, SMILES: C1CN2CCN1CC2, Value: 0.361
Index: 2773, SMILES: C1CN2CCN1CC2, Value: 0.389
Index: 2774, SMILES: C1CN2CCN1CC2, Value: 0.434
Index: 2775, SMILES: C1CN2CCN1CC2, Value: 0.479
Index: 2776, SMILES: C1CN2CCN1CC2, Value: 0.534
Index: 2777, SMILES: C1CN2CCN1CC2, Value: 0.305
Index: 2778, SMILES: C1CN2CCN1CC2, Value: 0.344
Index: 2779, SMILES: C1CN2CCN1CC2, Value: 0.377
