,Compound,Suitable,Violations
222,223,True,['RotBonds < 6']
223,224,True,['RotBonds < 6']
224,225,True,['RotBonds < 6']
225,226,True,['RotBonds < 6']
226,227,True,[]
227,228,True,[]
228,229,True,['RotBonds < 6']
229,230,True,['RotBonds < 6']
230,231,True,['RotBonds < 6']
231,232,True,['RotBonds < 6']
232,233,True,['RotBonds < 6']
233,234,True,['RotBonds < 6']
234,235,True,['RotBonds < 6']
235,236,True,['RotBonds < 6']
236,237,True,['RotBonds < 6']
237,238,True,['RotBonds < 6']
238,239,True,['RotBonds < 6']
239,240,True,['RotBonds < 6']
240,241,True,['RotBonds < 6']
241,242,True,['RotBonds < 6']
242,243,True,['RotBonds < 6']
243,244,True,['RotBonds < 6']
244,245,True,['RotBonds < 6']
245,246,True,['RotBonds < 6']
246,247,True,['RotBonds < 6']
247,248,True,['RotBonds < 6']
248,249,True,['RotBonds < 6']
249,250,True,['RotBonds < 6']
250,251,True,['RotBonds < 6']
251,252,True,['RotBonds < 6']
252,253,True,['RotBonds < 6']
253,254,True,['RotBonds < 6']
254,255,True,['RotBonds < 6']
255,256,True,['RotBonds < 6']
256,257,True,[]
257,258,True,['RotBonds < 6']
258,259,True,[]
259,260,True,['RotBonds < 6']
260,261,True,['RotBonds < 6']
261,262,True,['RotBonds < 6']
262,263,True,['RotBonds < 6']
263,264,True,['RotBonds < 6']
264,265,True,['RotBonds < 6']
265,266,True,['RotBonds < 6']
266,267,True,['RotBonds < 6']
267,268,True,['RotBonds < 6']
268,269,True,['RotBonds < 6']
269,270,True,['RotBonds < 6']
270,271,True,['RotBonds < 6']
271,272,True,['RotBonds < 6']
272,273,True,['RotBonds < 6']
273,274,True,['RotBonds < 6']
274,275,True,['RotBonds < 6']
275,276,True,['RotBonds < 6']
276,277,True,['RotBonds < 6']
277,278,True,['RotBonds < 6']
278,279,True,[]
279,280,True,['RotBonds < 6']
280,281,True,['RotBonds < 6']
281,282,True,['RotBonds < 6']
282,283,True,['RotBonds < 6']
283,284,True,['RotBonds < 6']
284,285,True,['RotBonds < 6']
285,286,True,['RotBonds < 6']
286,287,True,['RotBonds < 6']
287,288,True,['RotBonds < 6']
288,289,True,['RotBonds < 6']
289,290,True,['RotBonds < 6']
290,291,True,['RotBonds < 6']
291,292,True,['RotBonds < 6']
292,293,True,['RotBonds < 6']
293,294,True,['RotBonds < 6']
294,295,True,['RotBonds < 6']
295,296,True,['RotBonds < 6']
296,297,True,['RotBonds < 6']
297,298,True,['RotBonds < 6']
298,299,True,['RotBonds < 6']
299,300,True,['RotBonds < 6']
300,301,True,['RotBonds < 6']
301,302,True,['RotBonds < 6']
302,303,True,['RotBonds < 6']
303,304,True,['RotBonds < 6']
304,305,True,['RotBonds < 6']
305,306,True,['RotBonds < 6']
306,307,True,['RotBonds < 6']
307,308,True,['RotBonds < 6']
308,309,True,['RotBonds < 6']
309,310,True,['RotBonds < 6']
310,311,True,['RotBonds < 6']
311,312,True,['RotBonds < 6']
312,313,True,['RotBonds < 6']
313,314,True,['RotBonds < 6']
314,315,True,['RotBonds < 6']
315,316,True,['RotBonds < 6']
316,317,True,['RotBonds < 6']
317,318,True,['RotBonds < 6']
318,319,True,['RotBonds < 6']
319,320,True,['RotBonds < 6']
320,321,True,['RotBonds < 6']
321,322,True,['RotBonds < 6']
322,323,True,['RotBonds < 6']
323,324,True,['RotBonds < 6']
324,325,True,[]
325,326,True,['RotBonds < 6']
326,327,True,['RotBonds < 6']
327,328,True,['RotBonds < 6']
328,329,True,['RotBonds < 6']
329,330,True,['RotBonds < 6']
330,331,True,['RotBonds < 6']
331,332,True,['RotBonds < 6']
332,333,True,[]
333,334,True,['RotBonds < 6']
334,335,True,['RotBonds < 6']
335,336,True,['RotBonds < 6']
336,337,True,['LogP > 5']
337,338,True,['RotBonds < 6']
338,339,True,['RotBonds < 6']
339,340,True,['RotBonds < 6']
340,341,True,['RotBonds < 6']
341,342,True,['RotBonds < 6']
342,343,True,['RotBonds < 6']
343,344,True,['RotBonds < 6']
344,345,True,['RotBonds < 6']
345,346,True,['RotBonds < 6']
346,347,True,['RotBonds < 6']
347,348,True,['RotBonds < 6']
348,349,True,['RotBonds < 6']
349,350,True,['RotBonds < 6']
350,351,False,"['HBD > 5', 'RotBonds < 6', 'TPSA > 140']"
351,352,False,"['HBD > 5', 'RotBonds < 6', 'TPSA > 140']"
352,353,True,['RotBonds < 6']
353,354,True,['RotBonds < 6']
354,355,True,[]
355,356,True,['RotBonds < 6']
356,357,True,['RotBonds < 6']
357,358,True,['RotBonds < 6']
358,359,True,['RotBonds < 6']
359,360,True,['RotBonds < 6']
360,361,True,['RotBonds < 6']
361,362,True,[]
362,363,True,[]
363,364,True,['RotBonds < 6']
364,365,True,['RotBonds < 6']
365,366,True,[]
366,367,True,['RotBonds < 6']
367,368,True,['RotBonds < 6']
368,369,True,['RotBonds < 6']
369,370,True,['RotBonds < 6']
370,371,True,['RotBonds < 6']
371,372,True,['RotBonds < 6']
372,373,True,['RotBonds < 6']
373,374,True,['RotBonds < 6']
374,375,True,['RotBonds < 6']
375,376,True,['RotBonds < 6']
376,377,True,['RotBonds < 6']
377,378,True,['RotBonds < 6']
378,379,True,['RotBonds < 6']
379,380,True,['RotBonds < 6']
380,381,True,['RotBonds < 6']
381,382,True,['RotBonds < 6']
382,383,True,['RotBonds < 6']
383,384,True,['RotBonds < 6']
384,385,True,['RotBonds < 6']
385,386,True,['RotBonds < 6']
386,387,True,['RotBonds < 6']
387,388,True,['RotBonds < 6']
388,389,True,['RotBonds < 6']
389,390,True,['RotBonds < 6']
390,391,False,"['HBD > 5', 'RotBonds < 6']"
391,392,True,['RotBonds < 6']
392,393,True,['RotBonds < 6']
393,394,True,['RotBonds < 6']
394,395,True,['RotBonds < 6']
395,396,True,['RotBonds < 6']
396,397,True,['RotBonds < 6']
397,398,True,['RotBonds < 6']
398,399,True,['RotBonds < 6']
399,400,True,['RotBonds < 6']
400,401,True,['RotBonds < 6']
401,402,True,['RotBonds < 6']
402,403,True,['RotBonds < 6']
403,404,True,['RotBonds < 6']
404,405,True,['RotBonds < 6']
405,406,True,['RotBonds < 6']
406,407,True,['RotBonds < 6']
407,408,True,['RotBonds < 6']
408,409,True,['RotBonds < 6']
409,410,True,['RotBonds < 6']
410,411,True,['RotBonds < 6']
411,412,True,['RotBonds < 6']
412,413,True,['RotBonds < 6']
413,414,True,['RotBonds < 6']
414,415,True,['RotBonds < 6']
415,416,True,['RotBonds < 6']
416,417,True,['RotBonds < 6']
417,418,True,['RotBonds < 6']
418,419,True,['RotBonds < 6']
419,420,True,['RotBonds < 6']
420,421,True,['RotBonds < 6']
421,422,True,['RotBonds < 6']
422,423,True,['RotBonds < 6']
423,424,True,['RotBonds < 6']
424,425,True,['RotBonds < 6']
425,426,True,['RotBonds < 6']
426,427,True,['RotBonds < 6']
427,428,True,['RotBonds < 6']
428,429,True,[]
429,430,True,[]
430,431,False,"['LogP > 5', 'RotBonds < 6']"
431,432,True,['RotBonds < 6']
432,433,True,['RotBonds < 6']
433,434,True,['RotBonds < 6']
434,435,True,['RotBonds < 6']
435,436,True,['RotBonds < 6']
436,437,True,['RotBonds < 6']
437,438,True,['RotBonds < 6']
438,439,True,['RotBonds < 6']
439,440,True,['RotBonds < 6']
440,441,True,['RotBonds < 6']
441,442,True,['RotBonds < 6']
442,443,True,['RotBonds < 6']
443,444,True,['RotBonds < 6']
444,445,True,['RotBonds < 6']
445,446,True,['RotBonds < 6']
446,447,True,['RotBonds < 6']
447,448,True,['RotBonds < 6']
448,449,True,['RotBonds < 6']
449,450,True,[]
450,451,True,['RotBonds < 6']
451,452,True,['RotBonds < 6']
452,453,True,[]
453,454,False,"['LogP > 5', 'RotBonds < 6']"
454,455,True,['RotBonds < 6']
455,456,True,['RotBonds < 6']
456,457,False,"['LogP > 5', 'RotBonds < 6']"
457,458,True,['RotBonds < 6']
458,459,True,['RotBonds < 6']
459,460,True,['RotBonds < 6']
460,461,True,['RotBonds < 6']
461,462,True,['RotBonds < 6']
462,463,True,['RotBonds < 6']
463,464,True,[]
464,465,True,[]
465,466,True,['RotBonds < 6']
466,467,True,['RotBonds < 6']
467,468,True,['RotBonds < 6']
468,469,True,[]
469,470,True,['RotBonds < 6']
470,471,True,['LogP > 5']
471,472,True,['RotBonds < 6']
472,473,True,['LogP > 5']
473,474,True,['RotBonds < 6']
474,475,True,['RotBonds < 6']
475,476,True,['RotBonds < 6']
476,477,True,['RotBonds < 6']
477,478,True,['RotBonds < 6']
478,479,True,['RotBonds < 6']
479,480,True,['RotBonds < 6']
480,481,True,['RotBonds < 6']
481,482,True,['RotBonds < 6']
482,483,True,['RotBonds < 6']
483,484,True,['RotBonds < 6']
484,485,True,['RotBonds < 6']
485,486,True,['LogP > 5']
486,487,False,"['HBD > 5', 'RotBonds < 6', 'TPSA > 140']"
487,488,True,['RotBonds < 6']
488,489,True,['RotBonds < 6']
489,490,True,['RotBonds < 6']
490,491,True,['RotBonds < 6']
491,492,True,['RotBonds < 6']
492,493,False,"['HBD > 5', 'RotBonds < 6', 'TPSA > 140']"
493,494,True,['LogP > 5']
494,495,True,[]
495,496,True,[]
